cik,company_name,sic_code,sic_division,division_name,sic_major_group,major_group_name,sic_industry_group
0000097476,TEXAS INSTRUMENTS INC,3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0001996810,GE VERNOVA INC.,3600,D,Manufacturing,36,Electronic & Electrical Equipment,360
0001032033,SLM CORP,6141,H,"Finance, Insurance & Real Estate",61,Non-Depository Credit Institutions,614
0001808834,"PROG HOLDINGS, INC.",7359,I,Services,73,Business Services,735
0001463101,"ENPHASE ENERGY, INC.",3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0000822416,PULTEGROUP INC/MI/,1531,C,Construction,15,Building Construction,153
0000936468,LOCKHEED MARTIN CORP,3760,D,Manufacturing,37,Transportation Equipment,376
0000702165,NORFOLK SOUTHERN CORP,4011,E,Transportation & Utilities,40,Railroad Transportation,401
0000040987,GENUINE PARTS CO,5013,F,Wholesale Trade,50,Wholesale Trade - Durable Goods,501
0000313616,DANAHER CORP /DE/,3823,D,Manufacturing,38,Measuring & Analyzing Instruments,382
0000917251,AGREE REALTY CORP,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001506307,"KINDER MORGAN, INC.",4922,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",492
0000921825,FIRST INDUSTRIAL REALTY TRUST INC,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000062709,"MARSH & MCLENNAN COMPANIES, INC.",6411,H,"Finance, Insurance & Real Estate",64,Insurance Agents & Brokers,641
0000100517,"UNITED AIRLINES HOLDINGS, INC.",4512,E,Transportation & Utilities,45,Transportation by Air,451
0001286681,DOMINOS PIZZA INC,5140,F,Wholesale Trade,51,Wholesale Trade - Nondurable Goods,514
0000008947,AZZ INC,3470,D,Manufacturing,34,Fabricated Metal Products,347
0000066382,"MILLERKNOLL, INC.",2520,D,Manufacturing,25,Furniture & Fixtures,252
0000077476,PEPSICO INC,2080,D,Manufacturing,20,Food & Kindred Products,208
0000876167,PROGRESS SOFTWARE CORP /MA,7372,I,Services,73,Business Services,737
0000723254,CINTAS CORP,2320,D,Manufacturing,23,Apparel & Other Finished Products,232
0000039368,FULLER H B CO,2891,D,Manufacturing,28,Chemicals & Allied Products,289
