value,abs_value,first_digit
1835000000.0,1835000000.0,1.0
3203000000.0,3203000000.0,3.0
1735000000.0,1735000000.0,1.0
3367000000.0,3367000000.0,3.0
-2375000000.0,2375000000.0,2.0
9173000000.0,9173000000.0,9.0
23090000000.0,23090000000.0,2.0
23.9,23.9,2.0
3449000000.0,3449000000.0,3.0
3595000000.0,3595000000.0,3.0
13000000.0,13000000.0,1.0
471000000.0,471000000.0,4.0
7578000000.0,7578000000.0,7.0
2055000000.0,2055000000.0,2.0
65000000.0,65000000.0,6.0
22476000000.0,22476000000.0,2.0
19764000000.0,19764000000.0,1.0
5430000000.0,5430000000.0,5.0
1340000000.0,1340000000.0,1.0
-251000000.0,251000000.0,2.0
37085000000.0,37085000000.0,3.0
43658000000.0,43658000000.0,4.0
2672000000.0,2672000000.0,2.0
7539000000.0,7539000000.0,7.0
341000000.0,341000000.0,3.0
12558000000.0,12558000000.0,1.0
23295000000.0,23295000000.0,2.0
5331000000.0,5331000000.0,5.0
-1510000000.0,1510000000.0,1.0
7858000000.0,7858000000.0,7.0
18551000000.0,18551000000.0,1.0
1892000000.0,1892000000.0,1.0
-175000000.0,175000000.0,1.0
-109000000.0,109000000.0,1.0
874757000.0,874757000.0,8.0
16322000000.0,16322000000.0,1.0
3850000000.0,3850000000.0,3.0
123549000000.0,123549000000.0,1.0
26287000000.0,26287000000.0,2.0
10.09,10.09,1.0
9289000000.0,9289000000.0,9.0
2895000000.0,2895000000.0,2.0
1800000.0,1800000.0,1.0
24.09,24.09,2.0
4354000000.0,4354000000.0,4.0
13593000000.0,13593000000.0,1.0
8310000000.0,8310000000.0,8.0
2129000000.0,2129000000.0,2.0
-42000000.0,42000000.0,4.0
10000000.0,10000000.0,1.0
7641000000.0,7641000000.0,7.0
98115000000.0,98115000000.0,9.0
3358000000.0,3358000000.0,3.0
5445000000.0,5445000000.0,5.0
18949000000.0,18949000000.0,1.0
39000000.0,39000000.0,3.0
235000000.0,235000000.0,2.0
26.31,26.31,2.0
205989000000.0,205989000000.0,2.0
899213.0,899213.0,8.0
-59000000.0,59000000.0,5.0
5369000000.0,5369000000.0,5.0
219000000.0,219000000.0,2.0
454000000.0,454000000.0,4.0
36208000000.0,36208000000.0,3.0
1277000000.0,1277000000.0,1.0
45646000000.0,45646000000.0,4.0
2787000000.0,2787000000.0,2.0
3791000000.0,3791000000.0,3.0
696000000.0,696000000.0,6.0
13102000000.0,13102000000.0,1.0
11682000000.0,11682000000.0,1.0
-105000000.0,105000000.0,1.0
87000000.0,87000000.0,8.0
43208000000.0,43208000000.0,4.0
2227000000.0,2227000000.0,2.0
31056000000.0,31056000000.0,3.0
5433000000.0,5433000000.0,5.0
3.05,3.05,3.0
70541000000.0,70541000000.0,7.0
10223000000.0,10223000000.0,1.0
-191000000.0,191000000.0,1.0
-1419000000.0,1419000000.0,1.0
13249000000.0,13249000000.0,1.0
771000000.0,771000000.0,7.0
3850000000.0,3850000000.0,3.0
12699000000.0,12699000000.0,1.0
499000000.0,499000000.0,4.0
8232000000.0,8232000000.0,8.0
15043000000.0,15043000000.0,1.0
-118000000.0,118000000.0,1.0
30577000000.0,30577000000.0,3.0
10.16,10.16,1.0
-6745000000.0,6745000000.0,6.0
-12000000.0,12000000.0,1.0
2369000000.0,2369000000.0,2.0
3307000000.0,3307000000.0,3.0
13856000000.0,13856000000.0,1.0
352000000.0,352000000.0,3.0
90360000000.0,90360000000.0,9.0
10746000000.0,10746000000.0,1.0
14052000000.0,14052000000.0,1.0
4179000000.0,4179000000.0,4.0
16349000000.0,16349000000.0,1.0
430000000.0,430000000.0,4.0
-86000000.0,86000000.0,8.0
839000000.0,839000000.0,8.0
120179000000.0,120179000000.0,1.0
-3401000000.0,3401000000.0,3.0
-122000000.0,122000000.0,1.0
27254000000.0,27254000000.0,2.0
-3846000000.0,3846000000.0,3.0
431000000.0,431000000.0,4.0
22264000000.0,22264000000.0,2.0
17947000000.0,17947000000.0,1.0
-86000000.0,86000000.0,8.0
3802000000.0,3802000000.0,3.0
4000000.0,4000000.0,4.0
575000000.0,575000000.0,5.0
236000000.0,236000000.0,2.0
1414000000.0,1414000000.0,1.0
9243000000.0,9243000000.0,9.0
5227000000.0,5227000000.0,5.0
2627000000.0,2627000000.0,2.0
5106000000.0,5106000000.0,5.0
5512000000.0,5512000000.0,5.0
-191000000.0,191000000.0,1.0
3524000000.0,3524000000.0,3.0
502000000.0,502000000.0,5.0
10869000000.0,10869000000.0,1.0
1793000000.0,1793000000.0,1.0
46532000000.0,46532000000.0,4.0
899213.0,899213.0,8.0
104000000.0,104000000.0,1.0
9899000000.0,9899000000.0,9.0
6120000000.0,6120000000.0,6.0
63447000000.0,63447000000.0,6.0
39793000000.0,39793000000.0,3.0
757000000.0,757000000.0,7.0
3658000000.0,3658000000.0,3.0
7435000000.0,7435000000.0,7.0
12905000000.0,12905000000.0,1.0
17827000000.0,17827000000.0,1.0
8705000000.0,8705000000.0,8.0
1377000000.0,1377000000.0,1.0
5849000000.0,5849000000.0,5.0
23303000000.0,23303000000.0,2.0
35930000000.0,35930000000.0,3.0
22485000000.0,22485000000.0,2.0
1359000000.0,1359000000.0,1.0
22625000000.0,22625000000.0,2.0
14259000000.0,14259000000.0,1.0
21496000000.0,21496000000.0,2.0
9800000000.0,9800000000.0,9.0
143000000.0,143000000.0,1.0
44000000.0,44000000.0,4.0
31527000000.0,31527000000.0,3.0
163000000.0,163000000.0,1.0
50000000.0,50000000.0,5.0
196000000.0,196000000.0,1.0
15984000000.0,15984000000.0,1.0
299000000.0,299000000.0,2.0
205989000000.0,205989000000.0,2.0
300000000.0,300000000.0,3.0
-3362000000.0,3362000000.0,3.0
9547000000.0,9547000000.0,9.0
2752000000.0,2752000000.0,2.0
1264000000.0,1264000000.0,1.0
1422000000.0,1422000000.0,1.0
3761000000.0,3761000000.0,3.0
480000000.0,480000000.0,4.0
9700000000.0,9700000000.0,9.0
1034000000.0,1034000000.0,1.0
363000000.0,363000000.0,3.0
50000000.0,50000000.0,5.0
18914000000.0,18914000000.0,1.0
-215000000.0,215000000.0,2.0
-1269000000.0,1269000000.0,1.0
11.62,11.62,1.0
23515000000.0,23515000000.0,2.0
27699000000.0,27699000000.0,2.0
-27878000000.0,27878000000.0,2.0
8373000000.0,8373000000.0,8.0
-28156000000.0,28156000000.0,2.0
161000000.0,161000000.0,1.0
12053000000.0,12053000000.0,1.0
16947000000.0,16947000000.0,1.0
193000000.0,193000000.0,1.0
3815000000.0,3815000000.0,3.0
43603000000.0,43603000000.0,4.0
861745.0,861745.0,8.0
-96000000.0,96000000.0,9.0
5146000000.0,5146000000.0,5.0
1163000000.0,1163000000.0,1.0
19634000000.0,19634000000.0,1.0
5985000000.0,5985000000.0,5.0
12225000000.0,12225000000.0,1.0
80241000000.0,80241000000.0,8.0
844000000.0,844000000.0,8.0
-154000000.0,154000000.0,1.0
2059000000.0,2059000000.0,2.0
485000000.0,485000000.0,4.0
234000000.0,234000000.0,2.0
11.69,11.69,1.0
4014000000.0,4014000000.0,4.0
1151000000.0,1151000000.0,1.0
3203000000.0,3203000000.0,3.0
6.1,6.1,6.0
23000000.0,23000000.0,2.0
1957000000.0,1957000000.0,1.0
2932000000.0,2932000000.0,2.0
8911000000.0,8911000000.0,8.0
22367000000.0,22367000000.0,2.0
898000000.0,898000000.0,8.0
1119000000.0,1119000000.0,1.0
1307000000.0,1307000000.0,1.0
15065000000.0,15065000000.0,1.0
286000000.0,286000000.0,2.0
3.05,3.05,3.0
3.05,3.05,3.0
3928000000.0,3928000000.0,3.0
6882000000.0,6882000000.0,6.0
457000000.0,457000000.0,4.0
220000000.0,220000000.0,2.0
7528000000.0,7528000000.0,7.0
939629000.0,939629000.0,9.0
1829000000.0,1829000000.0,1.0
