adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed,quarter
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=USGovernmentAgenciesDebtSecurities;,,177000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,ResearchAndDevelopmentExpense,us-gaap/2013,2012-12-31,1,USD,,,1010000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,SalesRevenueNet,us-gaap/2013,2013-12-31,1,USD,BusinessSegments=AsiaPacific;,,3633000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CommonStockDividendsPerShareDeclared,us-gaap/2013,2013-03-31,1,USD,,,2.65,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,IncreaseDecreaseInInventories,us-gaap/2013,2013-12-31,1,USD,,,358000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,SalesRevenueNet,us-gaap/2013,2012-12-31,1,USD,BusinessSegments=AsiaPacific;,,3993000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=MoneyMarketFunds;,,1793000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,ResearchAndDevelopmentExpense,us-gaap/2013,2013-12-31,1,USD,,,1330000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CommitmentsAndContingencies,us-gaap/2013,2013-12-31,0,USD,,,,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,GrossProfit,us-gaap/2013,2012-12-31,1,USD,,,21060000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,PaymentsOfDividendsAndDividendEquivalentsOnCommonStockAndRestrictedStockUnits,0001193125-14-024487,2013-12-31,1,USD,,,2769000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,us-gaap/2013,2012-12-31,1,USD,,,53000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,SalesRevenueNet,us-gaap/2013,2013-12-31,1,USD,BusinessSegments=Americas;,,20098000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,SellingGeneralAndAdministrativeExpense,us-gaap/2013,2013-12-31,1,USD,,,3053000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,PaymentsToAcquireAvailableForSaleSecurities,us-gaap/2013,2012-12-31,1,USD,,,37192000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,us-gaap/2013,2012-12-31,1,USD,,,534000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,GrossProfit,us-gaap/2013,2013-12-31,1,USD,,,21846000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,2013-12-31,1,USD,,,165000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OtherLiabilitiesNoncurrent,us-gaap/2013,2013-12-31,0,USD,,,21699000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,us-gaap/2013,2013-12-31,1,USD,,,-53000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
