adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed
0000320193-24-000123,ShareBasedCompensation,us-gaap/2024,2024-09-30,4,USD,,,11688000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2022-09-30,4,USD,ProductOrService=IPhone;,,205489000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2022-09-30,0,USD,EquityComponents=CommonStockIncludingAdditionalPaidInCapital;,,64849000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesNoncurrent,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=CorporateDebtSecurities;,,47886000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,IncreaseDecreaseInOtherReceivables,us-gaap/2024,2022-09-30,4,USD,,,7520000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,GrossProfit,us-gaap/2024,2024-09-30,4,USD,,,180683000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,Liabilities,us-gaap/2024,2024-09-30,0,USD,,,308030000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,us-gaap/2024,2023-09-30,4,USD,,,5828000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ResearchAndDevelopmentExpense,us-gaap/2024,2023-09-30,4,USD,,,29915000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CommonStockSharesIssued,us-gaap/2024,2024-09-30,0,shares,,,15116786000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2021-09-30,0,USD,EquityComponents=RetainedEarnings;,,5562000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ProceedsFromIssuanceOfLongTermDebt,us-gaap/2024,2023-09-30,4,USD,,,5228000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
