value,abs_value,first_digit
9800000000.0,9800000000.0,9
143000000.0,143000000.0,1
44000000.0,44000000.0,4
31527000000.0,31527000000.0,3
163000000.0,163000000.0,1
50000000.0,50000000.0,5
196000000.0,196000000.0,1
15984000000.0,15984000000.0,1
299000000.0,299000000.0,2
205989000000.0,205989000000.0,2
300000000.0,300000000.0,3
-3362000000.0,3362000000.0,3
9547000000.0,9547000000.0,9
2752000000.0,2752000000.0,2
1264000000.0,1264000000.0,1
1422000000.0,1422000000.0,1
3761000000.0,3761000000.0,3
480000000.0,480000000.0,4
9700000000.0,9700000000.0,9
1034000000.0,1034000000.0,1
363000000.0,363000000.0,3
50000000.0,50000000.0,5
18914000000.0,18914000000.0,1
-215000000.0,215000000.0,2
-1269000000.0,1269000000.0,1
11.62,11.62,1
23515000000.0,23515000000.0,2
27699000000.0,27699000000.0,2
-27878000000.0,27878000000.0,2
8373000000.0,8373000000.0,8
-28156000000.0,28156000000.0,2
161000000.0,161000000.0,1
12053000000.0,12053000000.0,1
16947000000.0,16947000000.0,1
193000000.0,193000000.0,1
3815000000.0,3815000000.0,3
43603000000.0,43603000000.0,4
861745.0,861745.0,8
-96000000.0,96000000.0,9
5146000000.0,5146000000.0,5
1163000000.0,1163000000.0,1
19634000000.0,19634000000.0,1
5985000000.0,5985000000.0,5
12225000000.0,12225000000.0,1
80241000000.0,80241000000.0,8
844000000.0,844000000.0,8
-154000000.0,154000000.0,1
2059000000.0,2059000000.0,2
485000000.0,485000000.0,4
234000000.0,234000000.0,2
11.69,11.69,1
4014000000.0,4014000000.0,4
1151000000.0,1151000000.0,1
3203000000.0,3203000000.0,3
6.1,6.1,6
23000000.0,23000000.0,2
1957000000.0,1957000000.0,1
2932000000.0,2932000000.0,2
8911000000.0,8911000000.0,8
22367000000.0,22367000000.0,2
898000000.0,898000000.0,8
1119000000.0,1119000000.0,1
1307000000.0,1307000000.0,1
15065000000.0,15065000000.0,1
286000000.0,286000000.0,2
3.05,3.05,3
3.05,3.05,3
3928000000.0,3928000000.0,3
6882000000.0,6882000000.0,6
457000000.0,457000000.0,4
220000000.0,220000000.0,2
7528000000.0,7528000000.0,7
939629000.0,939629000.0,9
1829000000.0,1829000000.0,1
1793000000.0,1793000000.0,1
37409000000.0,37409000000.0,3
3453000000.0,3453000000.0,3
588000000.0,588000000.0,5
143000000.0,143000000.0,1
73286000000.0,73286000000.0,7
313000000.0,313000000.0,3
3162000000.0,3162000000.0,3
1638000000.0,1638000000.0,1
2625000000.0,2625000000.0,2
7554000000.0,7554000000.0,7
463000000.0,463000000.0,4
11.4,11.4,1
946626000.0,946626000.0,9
60706000000.0,60706000000.0,6
1092000000.0,1092000000.0,1
225000000.0,225000000.0,2
6260000000.0,6260000000.0,6
3963000000.0,3963000000.0,3
5148000000.0,5148000000.0,5
465000000.0,465000000.0,4
109239000000.0,109239000000.0,1
12497000000.0,12497000000.0,1
-48000000.0,48000000.0,4
4798000000.0,4798000000.0,4
-77000000.0,77000000.0,7
10278000000.0,10278000000.0,1
-52000000.0,52000000.0,5
8737000000.0,8737000000.0,8
4325000000.0,4325000000.0,4
34519000000.0,34519000000.0,3
589000000.0,589000000.0,5
93000000.0,93000000.0,9
55298000000.0,55298000000.0,5
4690000000.0,4690000000.0,4
207000000000.0,207000000000.0,2
1577000000.0,1577000000.0,1
861745.0,861745.0,8
14310000000.0,14310000000.0,1
13818000000.0,13818000000.0,1
104256000000.0,104256000000.0,1
-4422000000.0,4422000000.0,4
1950000000.0,1950000000.0,1
5241000000.0,5241000000.0,5
347000000.0,347000000.0,3
7952000000.0,7952000000.0,7
8213000000.0,8213000000.0,8
1764000000.0,1764000000.0,1
429000000.0,429000000.0,4
34393000000.0,34393000000.0,3
207000000000.0,207000000000.0,2
49188000000.0,49188000000.0,4
-51000000.0,51000000.0,5
5162000000.0,5162000000.0,5
2649000000.0,2649000000.0,2
885415000.0,885415000.0,8
1800000.0,1800000.0,1
106215000000.0,106215000000.0,1
-471000000.0,471000000.0,4
103240000000.0,103240000000.0,1
55000000.0,55000000.0,5
8000000.0,8000000.0,8
569000000.0,569000000.0,5
177000000.0,177000000.0,1
2.65,2.65,2
29768000000.0,29768000000.0,2
838000000.0,838000000.0,8
16651000000.0,16651000000.0,1
106215000000.0,106215000000.0,1
4271000000.0,4271000000.0,4
98934000000.0,98934000000.0,9
26.16,26.16,2
172000000.0,172000000.0,1
203000000.0,203000000.0,2
-883000000.0,883000000.0,8
23287000000.0,23287000000.0,2
122681000000.0,122681000000.0,1
3412000000.0,3412000000.0,3
236000000.0,236000000.0,2
6469854000.0,6469854000.0,6
202000000.0,202000000.0,2
-100000000.0,100000000.0,1
7795000000.0,7795000000.0,7
-1282000000.0,1282000000.0,1
632000000.0,632000000.0,6
8396000000.0,8396000000.0,8
4974000000.0,4974000000.0,4
-25576000000.0,25576000000.0,2
667000000.0,667000000.0,6
9201000000.0,9201000000.0,9
4179000000.0,4179000000.0,4
10282000000.0,10282000000.0,1
588000000.0,588000000.0,5
14405000000.0,14405000000.0,1
10968000000.0,10968000000.0,1
-35000000.0,35000000.0,3
1577000000.0,1577000000.0,1
2645000000.0,2645000000.0,2
48985000000.0,48985000000.0,4
104256000000.0,104256000000.0,1
126685000000.0,126685000000.0,1
322000000.0,322000000.0,3
31394000000.0,31394000000.0,3
51000000.0,51000000.0,5
2374000000.0,2374000000.0,2
6294494000.0,6294494000.0,6
46532000000.0,46532000000.0,4
20535000000.0,20535000000.0,2
6172857000.0,6172857000.0,6
1.64,1.64,1
1793000000.0,1793000000.0,1
27989000000.0,27989000000.0,2
124000000.0,124000000.0,1
3556000000.0,3556000000.0,3
8077000000.0,8077000000.0,8
1001000000.0,1001000000.0,1
-2314000000.0,2314000000.0,2
5162000000.0,5162000000.0,5
39000000.0,39000000.0,3
10121000000.0,10121000000.0,1
2010000000.0,2010000000.0,2
6210000000.0,6210000000.0,6
-1486000000.0,1486000000.0,1
2450000000.0,2450000000.0,2
20208000000.0,20208000000.0,2
11769000000.0,11769000000.0,1
22285000000.0,22285000000.0,2
3403000000.0,3403000000.0,3
-140000000.0,140000000.0,1
9201000000.0,9201000000.0,9
6053000000.0,6053000000.0,6
19764000000.0,19764000000.0,1
-8871000000.0,8871000000.0,8
7280000000.0,7280000000.0,7
22367000000.0,22367000000.0,2
2850000000.0,2850000000.0,2
17286000000.0,17286000000.0,1
29525000000.0,29525000000.0,2
1.07,1.07,1
1043000000.0,1043000000.0,1
8835000000.0,8835000000.0,8
123549000000.0,123549000000.0,1
43658000000.0,43658000000.0,4
1698000000.0,1698000000.0,1
3453000000.0,3453000000.0,3
3058000000.0,3058000000.0,3
1650000000.0,1650000000.0,1
3154000000.0,3154000000.0,3
1.35,1.35,1
4.52,4.52,4
7825000000.0,7825000000.0,7
-22169000000.0,22169000000.0,2
86000000.0,86000000.0,8
-169000000.0,169000000.0,1
644000000.0,644000000.0,6
580000000.0,580000000.0,5
188000000.0,188000000.0,1
-4740000000.0,4740000000.0,4
13190000000.0,13190000000.0,1
2046000000.0,2046000000.0,2
3453000000.0,3453000000.0,3
0.47,0.47,4
1.28,1.28,1
468000000.0,468000000.0,4
2543000000.0,2543000000.0,2
2535000000.0,2535000000.0,2
6294494000.0,6294494000.0,6
435000000.0,435000000.0,4
8000000.0,8000000.0,8
1081000000.0,1081000000.0,1
1603000000.0,1603000000.0,1
3823000000.0,3823000000.0,3
17637000000.0,17637000000.0,1
10788000000.0,10788000000.0,1
4355000000.0,4355000000.0,4
3316000000.0,3316000000.0,3
3884000000.0,3884000000.0,3
50712000000.0,50712000000.0,5
5080000000.0,5080000000.0,5
2543000000.0,2543000000.0,2
8421000000.0,8421000000.0,8
7188000000.0,7188000000.0,7
133438000000.0,133438000000.0,1
6136147000.0,6136147000.0,6
3767000000.0,3767000000.0,3
13249000000.0,13249000000.0,1
41338000000.0,41338000000.0,4
357000000.0,357000000.0,3
7554000000.0,7554000000.0,7
721000000.0,721000000.0,7
5158000000.0,5158000000.0,5
14735000000.0,14735000000.0,1
673000000.0,673000000.0,6
54528000000.0,54528000000.0,5
-65000000.0,65000000.0,6
6012635000.0,6012635000.0,6
37432000000.0,37432000000.0,3
8013000000.0,8013000000.0,8
46205000000.0,46205000000.0,4
0.38,0.38,3
5140000000.0,5140000000.0,5
1793000000.0,1793000000.0,1
10487000000.0,10487000000.0,1
5.06,5.06,5
17950000000.0,17950000000.0,1
98715000000.0,98715000000.0,9
-1144000000.0,1144000000.0,1
3761000000.0,3761000000.0,3
-2091000000.0,2091000000.0,2
844000000.0,844000000.0,8
-51000000.0,51000000.0,5
6771000000.0,6771000000.0,6
46000000.0,46000000.0,4
335000000.0,335000000.0,3
1.2,1.2,1
43758000000.0,43758000000.0,4
222520000000.0,222520000000.0,2
234000000.0,234000000.0,2
3806000000.0,3806000000.0,3
2173000000.0,2173000000.0,2
8317000000.0,8317000000.0,8
120940000000.0,120940000000.0,1
3016000000.0,3016000000.0,3
502000000.0,502000000.0,5
8085000000.0,8085000000.0,8
16896000000.0,16896000000.0,1
8837000000.0,8837000000.0,8
177000000.0,177000000.0,1
10308000000.0,10308000000.0,1
1440000000.0,1440000000.0,1
4160000000.0,4160000000.0,4
126827000000.0,126827000000.0,1
1835000000.0,1835000000.0,1
10484000000.0,10484000000.0,1
1.29,1.29,1
143000000.0,143000000.0,1
24828000000.0,24828000000.0,2
15111000000.0,15111000000.0,1
2599000000.0,2599000000.0,2
46288000000.0,46288000000.0,4
31043000000.0,31043000000.0,3
313000000.0,313000000.0,3
11248000000.0,11248000000.0,1
443000000.0,443000000.0,4
99000000.0,99000000.0,9
2625000000.0,2625000000.0,2
906000000.0,906000000.0,9
50000000.0,50000000.0,5
1178000000.0,1178000000.0,1
42011000000.0,42011000000.0,4
8297000000.0,8297000000.0,8
0.44,0.44,4
-1001000000.0,1001000000.0,1
6051711000.0,6051711000.0,6
1163000000.0,1163000000.0,1
431000000.0,431000000.0,4
-7000000.0,7000000.0,7
2403000000.0,2403000000.0,2
14577000000.0,14577000000.0,1
-733000000.0,733000000.0,7
7435000000.0,7435000000.0,7
40012000000.0,40012000000.0,4
50433000000.0,50433000000.0,5
2161000000.0,2161000000.0,2
67949000000.0,67949000000.0,6
5989171000.0,5989171000.0,5
29878000000.0,29878000000.0,2
2948000000.0,2948000000.0,2
3307000000.0,3307000000.0,3
0.44,0.44,4
11960000000.0,11960000000.0,1
8157000000.0,8157000000.0,8
5935000000.0,5935000000.0,5
-177000000.0,177000000.0,1
11475000000.0,11475000000.0,1
73286000000.0,73286000000.0,7
791000000.0,791000000.0,7
